score,title,city,date,domain,url
100.00,"音樂活動","台北","","npac-ntch.org","https://npac-ntch.org/zh"
70.00,"台北的京劇或傳統音樂表演: r/taiwan","台北","","www.musico.com.tw","https://www.musico.com.tw/all-events/"
65.40,"臺北流行音樂中心Taipei Music Center-最近活動","台北","","www.npm.gov.tw","https://www.npm.gov.tw/Articles.aspx?sno=04014246&l=1&type=&cat="
6.50,"活動列表- 臺北市文化快遞","台北","","tpac.org.taipei","https://tpac.org.taipei/"
5.00,"OPENTIX兩廳院文化生活","台北","","cultureexpress.taipei","https://cultureexpress.taipei/Event/C000003?SearchKeyword=%E9%9F%B3%E6%A8%82"
